epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,30140.2,0.71491,0.3724,0.87268,0.56804,0.71323,0.65342,0.55424,0.68571,0.34576,0.87507,0.0005941,0.0005941,0.0005941
43,30706.2,0.70818,0.36812,0.87086,0.58306,0.76651,0.68431,0.58037,0.69318,0.34223,0.87846,0.0005842,0.0005842,0.0005842
44,31284.5,0.70895,0.36746,0.86901,0.58625,0.75045,0.68508,0.57738,0.70312,0.34385,0.88105,0.0005743,0.0005743,0.0005743
45,32553.5,0.71271,0.36909,0.87124,0.54763,0.79184,0.67983,0.5752,0.68732,0.33836,0.87577,0.0005644,0.0005644,0.0005644
46,33125.8,0.70437,0.36421,0.87132,0.62947,0.72968,0.68245,0.57362,0.69096,0.33715,0.87705,0.0005545,0.0005545,0.0005545
47,33695.1,0.70407,0.36258,0.86935,0.7834,0.65178,0.68342,0.58464,0.6792,0.33193,0.87367,0.0005446,0.0005446,0.0005446
48,34259.6,0.70448,0.35963,0.87114,0.61013,0.81348,0.69928,0.58982,0.68501,0.33425,0.87449,0.0005347,0.0005347,0.0005347
49,34826.9,0.70954,0.36469,0.87189,0.57253,0.70868,0.68305,0.57675,0.71352,0.34207,0.88396,0.0005248,0.0005248,0.0005248
50,35405.7,0.70013,0.36205,0.868,0.65112,0.77959,0.71254,0.60421,0.69286,0.33407,0.87841,0.0005149,0.0005149,0.0005149
51,35978.5,0.69628,0.35942,0.8672,0.63796,0.77996,0.69419,0.58754,0.68731,0.33136,0.87633,0.000505,0.000505,0.000505
52,36561.6,0.69872,0.35737,0.86852,0.6437,0.77182,0.69828,0.59271,0.68226,0.32967,0.87504,0.0004951,0.0004951,0.0004951
53,37128.5,0.69929,0.35666,0.87009,0.63949,0.76385,0.69477,0.59661,0.6815,0.32942,0.87488,0.0004852,0.0004852,0.0004852
54,37703.8,0.7024,0.35745,0.87374,0.5512,0.74815,0.68212,0.5802,0.68379,0.33164,0.87564,0.0004753,0.0004753,0.0004753
55,38271.1,0.69419,0.35327,0.86903,0.63332,0.7741,0.68807,0.58697,0.68025,0.32533,0.87621,0.0004654,0.0004654,0.0004654
56,38838.8,0.69347,0.35371,0.86863,0.70767,0.68871,0.70222,0.59707,0.683,0.32889,0.87592,0.0004555,0.0004555,0.0004555
57,40053.8,0.68982,0.35187,0.86748,0.58179,0.77695,0.70083,0.59505,0.68324,0.32947,0.8762,0.0004456,0.0004456,0.0004456
58,40624,0.69198,0.35229,0.86837,0.70456,0.7079,0.70902,0.59683,0.69514,0.3286,0.8797,0.0004357,0.0004357,0.0004357
59,41190.9,0.6983,0.35369,0.86898,0.60309,0.80011,0.70408,0.59954,0.68428,0.3278,0.87593,0.0004258,0.0004258,0.0004258
60,41756.8,0.6993,0.35296,0.86946,0.6518,0.74809,0.69092,0.58743,0.67546,0.32206,0.87376,0.0004159,0.0004159,0.0004159
